PSA_ID,Domain,English,Kiswahili,Dholuo
141,Education,"The Cabinet Secretary for Education, Julius Migos Ogamba, presided over the official opening of the 3rd Annual Educational Assessment Symposium at the New Mitihani House in South C.","Waziri wa Elimu, Julius Migos Ogamba, aliongoza ufunguzi rasmi wa Kongamano la Tathmini ya Elimu la Mwaka la 3 katika Jumba Jipya la Mitihani huko South C.",
142,Education,"This year's Symposium was held under the theme Reimagining Curriculum, Pedagogy and Assessment for Inclusive, Innovative and Future-Ready Learning.","Kongamano la mwaka huu lilifanyika chini ya mada ya Kufikiria Upya Mtaala, Ufundishaji na Tathmini kwa ajili ya Kujifunza Jumuishi, Bunifu na Tayari kwa Wakati Ujao.",
143,Education,"The Symposium provides a platform for structured reflection and strategic conversation on how to better align curriculum, pedagogy, and assessment.","Kongamano hili hutoa jukwaa la tafakari iliyopangwa na mazungumzo ya kimkakati kuhusu jinsi ya kuoanisha vyema mtaala, ufundishaji, na tathmini.",
144,Education,"The event was graced by, among others, the Principal Secretary for Basic Education, Amb. Prof. Julius Bitok.","Hafla hiyo ilihudhuriwa na, miongoni mwa wengine, Katibu Mkuu wa Elimu ya Msingi, Balozi Profesa Julius Bitok.",
145,Education,"The Cabinet Secretary for Education, Julius Migos Ogamba, in the company of the Secretary to the Cabinet, Mrs. Mercy Wanjau, met with a team of researchers under the Advancing Women's Leadership in Academia initiative.","Waziri wa Elimu, Julius Migos Ogamba, pamoja na Katibu wa Baraza la Mawaziri, Bi. Mercy Wanjau, walikutana na timu ya watafiti chini ya mpango wa Kuendeleza Uongozi wa Wanawake katika Taaluma.",
146,Education,"The team presented findings of research on the challenges facing women's leadership in academia, and proposed interventions to ensure women are not unduly prevented from ascending to leadership roles.","Timu hiyo iliwasilisha matokeo ya utafiti kuhusu changamoto zinazowakabili uongozi wa wanawake katika taaluma, na ilipendekeza hatua za kuchukua ili kuhakikisha wanawake hawazuiliwi kupita kiasi kupanda nafasi za uongozi.",
147,Education,"The Ministry of Education is committed to fostering an environment of equality of genders and open competition for leadership in academia, in line with the tenets of the Constitution.","Wizara ya Elimu imejitolea kukuza mazingira ya usawa wa kijinsia na ushindani wazi wa uongozi katika taaluma, kulingana na kanuni za Katiba.",
148,Education,"The Cabinet Secretary for Education, Julius Migos Ogamba, attended the 2nd National Education Conference officially opened by His Excellency the President, Dr. William Samoei Ruto, at the Lake Naivasha Resort in Naivasha, Nakuru County.","Katibu wa Baraza la Mawaziri wa Elimu, Julius Migos Ogamba, alihudhuria Kongamano la 2 la Kitaifa la Elimu lililofunguliwa rasmi na Mheshimiwa Rais, Dkt. William Samoei Ruto, katika hoteli ya Lake Naivasha huko Naivasha, Kaunti ya Nakuru.",
149,Education,"The Conference brought together associations, learners and faith-based organizations spanning the entire education continuum.","Mkutano huo ulileta pamoja vyama, wanafunzi na mashirika ya kidini yanayojumuisha mwendelezo mzima wa elimu.",
150,Education,"The Conference was convened to review progress made, especially in the rollout of Competency-Based Education, and to examine transformative reforms being implemented to ensure the education system remains fit for purpose in the 21st century.","Mkutano huo uliitishwa ili kupitia maendeleo yaliyopatikana, hasa katika utekelezaji wa Elimu Inayotegemea Uwezo, na kuchunguza mageuzi yanayoleta mabadiliko yanayotekelezwa ili kuhakikisha mfumo wa elimu unabaki unafaa kwa madhumuni katika karne ya 21.",
151,Education,"The event was attended by, among others, the Principal Secretaries for Basic Education (Amb. Julius K. Bitok) and Higher Education (Dr. Beatrice Muganda Inyangala).","Hafla hiyo ilihudhuriwa, miongoni mwa wengine, Makatibu Wakuu wa Elimu ya Msingi (Mb. Julius K. Bitok) na Elimu ya Juu (Dkt. Beatrice Muganda Inyangala).",
152,Education,"The Cabinet Secretary for Education, Julius Migos Ogamba, conveyed a message of condolence from His Excellency the President, Dr. William Samoei Ruto, to the family of the late Prof. Raphael Munavu.","Waziri wa Elimu, Julius Migos Ogamba, alituma ujumbe wa rambirambi kutoka kwa Mheshimiwa Rais, Dkt. William Samoei Ruto, kwa familia ya marehemu Profesa Raphael Munavu.",
153,Education,"The late Prof. Munavu, a reform leader whose work left an indelible mark, most recently served as Chairperson of the Presidential Working Party on Education Reform.","Marehemu Profesa Munavu, kiongozi wa mageuzi ambaye kazi yake iliacha alama isiyofutika, hivi karibuni alihudumu kama Mwenyekiti wa Chama cha Rais cha Mageuzi ya Elimu.",
154,Education,The recommendations of the Working Party continue to shape the implementation of Competency-Based Education.,Mapendekezo ya Chama Kazi yanaendelea kuunda utekelezaji wa Elimu Inayotegemea Uwezo.,
155,Education,"The Principal Secretary for Higher Education, Dr. Beatrice Muganda Inyangala, joined the Deputy President, Kithure Kindiki, in officially opening the 3rd Annual Regulatory Authorities and Agencies Conference at the South Eastern Kenya University Main Campus.","Katibu Mkuu wa Elimu ya Juu, Dkt. Beatrice Muganda Inyangala, alijiunga na Naibu Rais, Kithure Kindiki, katika kufungua rasmi Mkutano wa 3 wa Mwaka wa Mamlaka na Mashirika ya Udhibiti katika Kampasi Kuu ya Chuo Kikuu cha Kusini Mashariki mwa Kenya.",
156,Education,"The Conference aims to shape markets, safeguard livelihoods, and protect the welfare of all Kenyans in line with the Bottom-Up Economic Transformation Agenda (BETA).","Mkutano huo unalenga kuunda masoko, kulinda riziki, na kulinda ustawi wa Wakenya wote kulingana na Ajenda ya Mabadiliko ya Kiuchumi ya Chini-Kupanda (BETA).",
157,Education,"Other dignitaries present included the Head of Public Service, Felix Koskei, fellow Principal Secretaries, chairpersons and board members of regulatory authorities, and Chief Executive Officers of agencies.","Viongozi wengine mashuhuri waliohudhuria ni pamoja na Mkuu wa Utumishi wa Umma, Felix Koskei, Makatibu Wakuu wenzake, wenyeviti na wajumbe wa bodi za mamlaka za udhibiti, na Maafisa Wakuu wa Mashirika.",
158,Education,"The Cabinet Secretary for Education, Julius Migos Ogamba, joined His Excellency the President, Dr. William Samoei Ruto, at Maseno School in Kisumu County to celebrate the 120th Anniversary of the establishment of the institution.","Waziri wa Elimu, Julius Migos Ogamba, alijiunga na Mheshimiwa Rais, Dkt. William Samoei Ruto, katika Shule ya Maseno katika Kaunti ya Kisumu kusherehekea miaka 120 ya kuanzishwa kwa taasisi hiyo.",
159,Education,"Established in 1906 with only six learners, Maseno School has grown into one of the country's most distinguished institutions of learning, widely respected for its tradition of academic excellence, character formation, and leadership development.","Shule ya Maseno, iliyoanzishwa mwaka wa 1906 ikiwa na wanafunzi sita pekee, imekua na kuwa mojawapo ya taasisi maarufu za kujifunza nchini, ikiheshimiwa sana kwa utamaduni wake wa ubora wa kitaaluma, malezi ya tabia, na maendeleo ya uongozi.",
160,Education,"Over the past 120 years, the school has nurtured generations of leaders who have made notable contributions to national development, firmly securing its place among Kenya's enduring centres of educational excellence.","Katika kipindi cha miaka 120 iliyopita, shule hiyo imewalea vizazi vya viongozi ambao wametoa michango muhimu kwa maendeleo ya taifa, na hivyo kuilinda vyema nafasi yake miongoni mwa vituo vya kudumu vya ubora wa elimu nchini Kenya.",
161,Education,"The Principal Secretary for Higher Education, Dr. Beatrice Muganda Inyangala, alongside the Principal Secretary for the State Department for TVET, Esther Mworia, officiated the opening of the 1st National Qualifications Conference organised by the Kenya National Qualifications Authority.","Katibu Mkuu wa Elimu ya Juu, Dkt. Beatrice Muganda Inyangala, pamoja na Katibu Mkuu wa Idara ya Mambo ya Nje ya TVET, Esther Mworia, waliongoza ufunguzi wa Mkutano wa Kwanza wa Kitaifa wa Sifa ulioandaliwa na Mamlaka ya Kitaifa ya Sifa ya Kenya.",
162,Education,"The Conference brought together stakeholders from government, industry, civil society, employers, conformity assessment bodies, and regulatory agencies, united in advancing Kenya's qualifications and skills agenda.","Mkutano huo uliwaleta pamoja wadau kutoka serikalini, viwandani, asasi za kiraia, waajiri, vyombo vya tathmini ya ulinganifu, na mashirika ya udhibiti, kwa pamoja katika kuendeleza ajenda ya sifa na ujuzi ya Kenya.",
163,Education,"The event highlighted the dignity of labour, the need to unlock human potential, recognise competencies wherever they are found, and build a globally competitive education system.","Tukio hilo liliangazia heshima ya kazi, hitaji la kufungua uwezo wa binadamu, kutambua uwezo popote ulipo, na kujenga mfumo wa elimu wenye ushindani wa kimataifa.",
164,Education,"Also in attendance was the Principal Secretary for the State Department for Industrialization, Dr. Juma Mukhwana.","Pia aliyehudhuria alikuwa Katibu Mkuu wa Idara ya Nchi ya Viwanda, Dkt. Juma Mukhwana.",
165,Education,"The Cabinet Secretary for Education, Julius Migos Ogamba, hosted the Governor of Samburu County, Hon. Lati Lelelit, the Chair of the Laikipia University Council, Dr. Lemein Korei, and the Vice-Chancellor of Laikipia University, Prof. Kibett Rotich, at the Ministry's Jogoo House B offices.","Waziri wa Elimu, Julius Migos Ogamba, alimkaribisha Gavana wa Kaunti ya Samburu, Mheshimiwa Lati Lelelit, Mwenyekiti wa Baraza la Chuo Kikuu cha Laikipia, Dkt. Lemein Korei, na Makamu Mkuu wa Chuo Kikuu cha Laikipia, Prof. Kibett Rotich, katika ofisi za Jogoo House B za Wizara.",
166,Education,"The meeting discussed the implementation of the directive by His Excellency the President, Dr. William Samoei Ruto, on the establishment of a university in Samburu County.","Mkutano huo ulijadili utekelezaji wa agizo la Mheshimiwa Rais, Dkt. William Samoei Ruto, kuhusu kuanzishwa kwa chuo kikuu katika Kaunti ya Samburu.",
167,Education,"The Government is committed to expanding access to higher education through multiple strategies, including establishing universities across the country and ensuring university programmes remain affordable and equitably funded.","Serikali imejitolea kupanua upatikanaji wa elimu ya juu kupitia mikakati mingi, ikiwa ni pamoja na kuanzisha vyuo vikuu kote nchini na kuhakikisha programu za vyuo vikuu zinabaki kuwa nafuu na zinafadhiliwa kwa usawa.",
168,Education,The Government is implementing a deliberate effort to balance broad access to higher education with targeted centres of excellence that advance the country's strategic development priorities.,Serikali inatekeleza juhudi za makusudi za kusawazisha upatikanaji mpana wa elimu ya juu na vituo lengwa vya ubora vinavyolenga kuendeleza vipaumbele vya maendeleo ya kimkakati vya nchi.,
169,Education,"The Cabinet Secretary for Education, Julius Migos Ogamba, was honoured with a conferment at Kenya-AIST, marking institutions with highly specialized mandates focused on training and advanced research in fields critical to Kenya's future competitiveness.","Waziri wa Elimu, Julius Migos Ogamba, alitunukiwa tuzo katika Kenya-AIST, akiashiria taasisi zenye mamlaka maalum ya juu zinazolenga mafunzo na utafiti wa hali ya juu katika nyanja muhimu kwa ushindani wa Kenya katika siku zijazo.",
170,Education,"The event was also graced by the Cabinet Secretary for Health, Hon. Aden Duale, and the Cabinet Secretary for Information, Communications and the Digital Economy, Hon. William Kabogo Gitau.","Hafla hiyo pia ilihudhuriwa na Waziri wa Afya, Mhe. Aden Duale, na Katibu wa Habari, Mawasiliano na Uchumi wa Kidijitali, Mhe. William Kabogo Gitau.",
171,Education,"The Government is working together with other stakeholders, including faith-based organizations and sponsors, to enhance access to education through improving infrastructure and facilities.","Serikali inashirikiana na wadau wengine, ikiwa ni pamoja na mashirika ya kidini na wafadhili, ili kuboresha upatikanaji wa elimu kupitia kuboresha miundombinu na vifaa.",
172,Education,"The Cabinet Secretary for Education, Julius Migos Ogamba, visited Fr. Makewa High School, which has successfully sent over 2,000 students to university and more to other institutions of tertiary education.","Waziri wa Elimu, Julius Migos Ogamba, alitembelea Shule ya Upili ya Fr. Makewa, ambayo imefanikiwa kupeleka zaidi ya wanafunzi 2,000 chuo kikuu na zaidi katika taasisi zingine za elimu ya juu.",
173,Education,This achievement demonstrates the significant impact that collaboration between the Government and other stakeholders can have on educational outcomes at both the local and national levels.,Mafanikio haya yanaonyesha athari kubwa ambayo ushirikiano kati ya Serikali na wadau wengine unaweza kuwa nayo kwenye matokeo ya kielimu katika ngazi za mitaa na kitaifa.,
174,Education,"The investment in modern learning infrastructure reflects the Ministry's broader commitment to nurturing human capital, expanding access to quality education, and equipping learners with the skills and competencies necessary to thrive in an evolving global economy.","Uwekezaji katika miundombinu ya kisasa ya kujifunza unaonyesha dhamira pana ya Wizara ya kukuza rasilimali watu, kupanua upatikanaji wa elimu bora, na kuwapa wanafunzi ujuzi na uwezo unaohitajika ili kustawi katika uchumi wa dunia unaobadilika.",
175,Education,"Mr. Nelson Sifuna, Head of the Directorate of Field Coordination and Co-curricular Activities, led an inspection of the refurbishment of 10 classrooms and construction of 2 new classrooms at Waberi Primary School in Wajir County ahead of the Madaraka Day celebrations.","Bw. Nelson Sifuna, Mkuu wa Kurugenzi ya Uratibu wa Ugani na Shughuli za Pamoja za Shule, aliongoza ukaguzi wa ukarabati wa madarasa 10 na ujenzi wa madarasa 2 mapya katika Shule ya Msingi ya Waberi katika Kaunti ya Wajir kabla ya sherehe za Siku ya Madaraka.",
176,Education,"The Director-General, Dr. Elyas Abdi, led a meeting with field officers from the Ministry of Education and TSC in Wajir County to assess preparedness for the upcoming Madaraka Day celebrations themed Education, Skills and the Future.","Mkurugenzi Mkuu, Dkt. Elyas Abdi, aliongoza mkutano na maafisa wa uwanjani kutoka Wizara ya Elimu na TSC katika Kaunti ya Wajir ili kutathmini maandalizi ya sherehe zijazo za Siku ya Madaraka zenye mada ya Elimu, Ujuzi na Mustakabali.",
177,Education,"The four-day programme will feature discussions on policy, innovation, leadership, skills development and community-based learning as the Ministry continues to advance transformative and inclusive education initiatives across the country.","Programu hiyo ya siku nne itaangazia mijadala kuhusu sera, uvumbuzi, uongozi, ukuzaji wa ujuzi na ujifunzaji unaozingatia jamii huku Wizara ikiendelea kuendeleza mipango ya elimu yenye mabadiliko na jumuishi kote nchini.",
178,Education,"The Government is making strategic investments in teacher education and training, recognizing their critical role in preparing human capital for Competency-Based Education (CBE).","Serikali inafanya uwekezaji wa kimkakati katika elimu na mafunzo ya walimu, ikitambua jukumu lao muhimu katika kuandaa rasilimali watu kwa ajili ya Elimu Inayotegemea Uwezo (CBE).",
179,Education,"The Cabinet Secretary for Education, Julius Migos Ogamba, joined His Excellency President Dr. William Samoei Ruto at the groundbreaking ceremony for Garsen Teachers College in Tana River County.","Waziri wa Elimu, Julius Migos Ogamba, alijiunga na Rais Mtukufu Dkt. William Samoei Ruto katika sherehe ya uzinduzi wa Chuo cha Walimu cha Garsen katika Kaunti ya Tana River.",
180,Education,The institution is expected to strengthen teacher education and expand access to quality education within the region and beyond.,Taasisi hiyo inatarajiwa kuimarisha elimu ya walimu na kupanua upatikanaji wa elimu bora ndani ya eneo hilo na kwingineko.,
181,Education,"Earlier, the Cabinet Secretary visited Pwani University in Kilifi County ahead of the President's scheduled visit for the groundbreaking of student hostels, part of the Government's broader efforts to expand access to higher education through infrastructure development and improved affordability.","Hapo awali, Waziri wa Baraza la Mawaziri alitembelea Chuo Kikuu cha Pwani katika Kaunti ya Kilifi kabla ya ziara iliyopangwa ya Rais kwa ajili ya ujenzi wa hosteli za wanafunzi, sehemu ya juhudi pana za Serikali za kupanua upatikanaji wa elimu ya juu kupitia maendeleo ya miundombinu na kuboresha uwezo wa kumudu gharama.",
182,Education,Expanding infrastructure in our educational institutions is a key strategy towards promoting equitable access to higher education.,Kupanua miundombinu katika taasisi zetu za elimu ni mkakati muhimu wa kukuza upatikanaji sawa wa elimu ya juu.,
183,Education,"The Cabinet Secretary for Education, Julius Migos Ogamba, joined His Excellency the President, Dr. William Samoei Ruto, at the groundbreaking ceremony for student hostels at Pwani University.","Waziri wa Elimu, Julius Migos Ogamba, alijiunga na Mheshimiwa Rais, Dkt. William Samoei Ruto, katika sherehe ya uzinduzi wa hosteli za wanafunzi katika Chuo Kikuu cha Pwani.",
184,Education,"The project will increase the accommodation capacity at Pwani University, thereby lowering costs and promoting student convenience as they pursue their studies.","Mradi huo utaongeza uwezo wa malazi katika Chuo Kikuu cha Pwani, na hivyo kupunguza gharama na kukuza urahisi wa wanafunzi wanapoendelea na masomo yao.",
185,Education,"Nikkita, a law student at Kabarak University, said HELB support has eased the financial burden on her family and allowed her to focus fully on her demanding law studies without constant financial stress.","Nikkita, mwanafunzi wa sheria katika Chuo Kikuu cha Kabarak, alisema usaidizi wa HELB umepunguza mzigo wa kifedha kwa familia yake na kumruhusu kuzingatia kikamilifu masomo yake ya sheria yenye mahitaji bila msongo wa kifedha wa mara kwa mara.",
186,Education,"The Cabinet Secretary for Education, Julius Migos Ogamba, graced the Nyandarua High School Prize Giving Day in Nyandarua County.","Waziri wa Elimu, Julius Migos Ogamba, alihudhuria Siku ya Kutoa Tuzo za Shule ya Upili ya Nyandarua katika Kaunti ya Nyandarua.",
187,Education,"Nyandarua High School, a mixed, national-level institution, is among the country's top-performing schools, with a rich history of academic and co-curricular performance.","Shule ya Upili ya Nyandarua, taasisi mchanganyiko ya kitaifa, ni miongoni mwa shule zinazofanya vizuri zaidi nchini, zenye historia tajiri ya utendaji wa kitaaluma na wa pamoja wa masomo.",
188,Education,"Other leaders in attendance were the Cabinet Secretary for Tourism and Wildlife, Rebecca Miano, and the Principal Secretary for Roads, Eng. Joseph Mbugua.","Viongozi wengine waliohudhuria walikuwa Waziri wa Utalii na Wanyamapori, Rebecca Miano, na Katibu Mkuu wa Barabara, Mhandisi Joseph Mbugua.",
189,Education,"The Government continues to take steps and measures to promote the welfare of teachers, including increasing teacher numbers to rationalize workloads, with a record 100,000 teachers employed in the last three years.","Serikali inaendelea kuchukua hatua na hatua za kukuza ustawi wa walimu, ikiwa ni pamoja na kuongeza idadi ya walimu ili kuhalalisha mzigo wa kazi, huku rekodi ikiwa na walimu 100,000 walioajiriwa katika miaka mitatu iliyopita.",
190,Education,This has facilitated career progression and created an enabling environment for teacher performance.,Hii imewezesha maendeleo ya kazi na kuunda mazingira wezeshi kwa utendaji wa walimu.,
191,Education,"Our education thrives because of our teachers, who teach and inspire millions of learners in our educational institutions.","Elimu yetu inastawi kwa sababu ya walimu wetu, ambao hufundisha na kuwatia moyo mamilioni ya wanafunzi katika taasisi zetu za elimu.",
192,Education,Teachers are the primary custodians of the resources and investments made in the education sector.,Walimu ndio walinzi wakuu wa rasilimali na uwekezaji unaofanywa katika sekta ya elimu.,
193,Education,"Higher education is about creating opportunities and making education work better for every student; the Principal Secretary for Higher Education, Dr. Beatrice Inyangala, explained how the Student-Centred Funding Model works, the changes made through student feedback, and what this means for learners.","Elimu ya juu inahusu kuunda fursa na kufanya elimu ifanye kazi vizuri zaidi kwa kila mwanafunzi; Katibu Mkuu wa Elimu ya Juu, Dkt. Beatrice Inyangala, alielezea jinsi Mfumo wa Ufadhili Unaozingatia Wanafunzi unavyofanya kazi, mabadiliko yanayofanywa kupitia maoni ya wanafunzi, na maana yake kwa wanafunzi.",
194,Education,"Following the Utumishi Girls fire tragedy, the Cabinet Secretary for Education, Julius Ogamba, announced hotline number 1199 for parents to report information, especially those who left with their children when they came earlier, with the line also available for counselling.","Kufuatia mkasa wa moto wa Utumishi Girls, Waziri wa Elimu, Julius Ogamba, alitangaza nambari ya simu 1199 kwa wazazi kuripoti taarifa, hasa wale walioondoka na watoto wao walipokuja mapema, huku simu hiyo pia ikipatikana kwa ajili ya ushauri nasaha.",
195,Education,"The Madaraka Day Thematic Session Three, themed Education in Future: Shaping the Future through Education, Innovations and Opportunities, was held on 30 May 2026 at Wagberi Primary School.","Kipindi cha Tatu cha Mada ya Siku ya Madaraka, chenye mada kuu Elimu katika Wakati Ujao: Kuunda Wakati Ujao Kupitia Elimu, Ubunifu na Fursa, kilifanyika tarehe 30 Mei 2026 katika Shule ya Msingi ya Wagberi.",
196,Education,"The Principal Secretary for Higher Education, Dr. Beatrice Muganda Inyangala, served as guest of honour, alongside vice-chancellors and university panelists from institutions including South Eastern Kenya University, Eldoret, Meru, MMUST, and Bomet.","Katibu Mkuu wa Elimu ya Juu, Dkt. Beatrice Muganda Inyangala, alihudumu kama mgeni wa heshima, pamoja na makamu wa machansela na wanajopo wa vyuo vikuu kutoka taasisi zikiwemo Chuo Kikuu cha Kusini Mashariki mwa Kenya, Eldoret, Meru, MMUST, na Bomet.",
197,Education,"The Cabinet Secretary for Education, Julius Migos Ogamba, toured Wajir High School, the oldest secondary school in Kenya's North Eastern Region.","Waziri wa Elimu, Julius Migos Ogamba, alitembelea Shule ya Upili ya Wajir, shule ya upili kongwe zaidi katika Mkoa wa Kaskazini Mashariki mwa Kenya.",
198,Education,"During the visit, he commended the school for its long-standing contribution to education in the region, noting its role in nurturing generations of learners and producing distinguished alumni.","Wakati wa ziara hiyo, aliipongeza shule hiyo kwa mchango wake wa muda mrefu katika elimu katika eneo hilo, akibainisha jukumu lake katika kulea vizazi vya wanafunzi na kutoa wahitimu mashuhuri.",
199,Education,He urged the school community to maintain its commitment to academic excellence and discipline as it continues to shape future leaders.,Aliwahimiza jamii ya shule kudumisha kujitolea kwake kwa ubora wa kitaaluma na nidhamu huku ikiendelea kuwaunda viongozi wa siku zijazo.,
200,Education,"As Kenya celebrated its 63rd Madaraka Day, the Ministry noted that through TVET, youths and Kenyans at large are acquiring competencies to create, innovate, compete, drive industrial growth, and transform communities, under the theme Education, Skills and the Future - One Competence at a Time.","Huku Kenya ikisherehekea Siku yake ya 63 ya Madaraka, Wizara ilibainisha kuwa kupitia TVET, vijana na Wakenya kwa ujumla wanapata ujuzi wa kuunda, kuvumbua, kushindana, kuendesha ukuaji wa viwanda, na kubadilisha jamii, chini ya mada Elimu, Ujuzi na Mustakabali - Uwezo Mmoja kwa Wakati.",
201,Education,"The Cabinet Secretary for Education, Julius Migos Ogamba, attended official bilateral discussions between Kenya and South Africa, under the joint chairmanship of President Dr. William Samoei Ruto and President Cyril Ramaphosa, covering cooperation, sports and culture, as well as gender equality and women empowerment.","Waziri wa Elimu, Julius Migos Ogamba, alihudhuria mijadala rasmi ya pande mbili kati ya Kenya na Afrika Kusini, chini ya uenyekiti wa pamoja wa Rais Dkt. William Samoei Ruto na Rais Cyril Ramaphosa, ikizungumzia ushirikiano, michezo na utamaduni, pamoja na usawa wa kijinsia na uwezeshaji wa wanawake.",
202,Education,The Cabinet Secretary signed a Memorandum of Understanding for Cooperation in the Field of Technical and Vocational Education and Training between Kenya and South Africa.,Waziri wa Baraza la Mawaziri alisaini Mkataba wa Makubaliano ya Ushirikiano katika Nyanja ya Elimu na Mafunzo ya Ufundi na Ufundi kati ya Kenya na Afrika Kusini.,
203,Education,"The MoU provides a platform for Kenya and South Africa to reset and deepen cooperation in the TVET sector through sharing best practices, undertaking joint research, and implementing staff and student exchanges.","MoU hutoa jukwaa kwa Kenya na Afrika Kusini kuanzisha upya na kuimarisha ushirikiano katika sekta ya TVET kupitia kushiriki mbinu bora, kufanya utafiti wa pamoja, na kutekeleza ubadilishanaji wa wafanyakazi na wanafunzi.",
204,Education,"The Cabinet Secretary for Education, Julius Migos Ogamba, attended the Presidential Session of the Kenya-South Africa Business Forum in Midrand, South Africa, under the patronage of President Dr. William Samoei Ruto and President Cyril Ramaphosa.","Waziri wa Elimu, Julius Migos Ogamba, alihudhuria Kikao cha Rais cha Jukwaa la Biashara la Kenya-Afrika Kusini huko Midrand, Afrika Kusini, chini ya ufadhili wa Rais Dkt. William Samoei Ruto na Rais Cyril Ramaphosa.",
205,Education,The Forum brought together Government officials and business leaders to reflect on the state of trade between the two countries and deliberate on strategies for enhancing bilateral and regional trade.,Jukwaa hilo liliwakutanisha maafisa wa Serikali na viongozi wa biashara ili kutafakari hali ya biashara kati ya nchi hizo mbili na kujadili mikakati ya kuimarisha biashara ya pande mbili na ya kikanda.,
206,Education,"Regional integration is key to promoting intra-African trade to unlock massive market potential across sectors, including in education and related services.","Ujumuishaji wa kikanda ni muhimu katika kukuza biashara ya ndani ya Afrika ili kufungua uwezo mkubwa wa soko katika sekta mbalimbali, ikiwa ni pamoja na elimu na huduma zinazohusiana.",
207,Education,"The Cabinet Secretary for Education, Julius Migos Ogamba, accompanied by the Principal Secretaries for Basic Education, TVET, and Higher Education, briefed the Deputy President, Prof. Kithure Kindiki, on education sector issues.","Waziri wa Elimu, Julius Migos Ogamba, akifuatana na Makatibu Wakuu wa Elimu ya Msingi, TVET, na Elimu ya Juu, walimpa taarifa Naibu Rais, Prof. Kithure Kindiki, kuhusu masuala ya sekta ya elimu.",
208,Education,"The meeting deliberated matters of school safety and security, the rollout of Competency-Based Education, and the promotion of access and equity at all levels of education.","Mkutano huo ulijadili masuala ya usalama na usalama wa shule, utekelezaji wa Elimu Inayotegemea Uwezo, na uendelezaji wa upatikanaji na usawa katika ngazi zote za elimu.",
209,Education,"Team Kenya secured its first-ever Grand Prize in the Huawei ICT Competition 2025-2026 Global Final in Shenzhen, China.","Timu ya Kenya ilipata Tuzo yake Kuu ya kwanza kabisa katika Fainali ya Kimataifa ya Huawei ICT 2025-2026 huko Shenzhen, China.",
210,Education,This win inspires confidence in the future of Kenya's tech-driven economy and confirms the global competitiveness of Kenya's education and training system.,Ushindi huu unatia moyo kujiamini katika mustakabali wa uchumi wa Kenya unaoendeshwa na teknolojia na unathibitisha ushindani wa kimataifa wa mfumo wa elimu na mafunzo wa Kenya.,
211,Education,"Competitions such as the Huawei ICT competition provide a critical platform promoting skilling in technology in Kenya and the world, and demonstrate trainees' and students' preparedness for the world of work.","Mashindano kama vile shindano la TEHAMA la Huawei hutoa jukwaa muhimu la kukuza ujuzi katika teknolojia nchini Kenya na duniani kote, na kuonyesha utayari wa wanafunzi na wanafunzi kwa ulimwengu wa kazi.",
212,Education,"The Cabinet Secretary for Education, Julius Migos Ogamba, hosted the incoming Principal Secretary for Basic Education, John Lekakeny Ololtuaa, and the outgoing Principal Secretary, Amb. Prof. Julius Bitok, at the Ministry's Jogoo House B offices.","Katibu wa Baraza la Mawaziri la Elimu, Julius Migos Ogamba, alimkaribisha Katibu Mkuu mpya wa Elimu ya Msingi, John Lekakeny Ololtuaa, na Katibu Mkuu anayemaliza muda wake, Balozi Profesa Julius Bitok, katika ofisi za Jogoo House B za Wizara.",
213,Education,The Cabinet Secretary welcomed John Lekakeny Ololtuaa to the Ministry of Education and wished Prof. Julius Bitok every success in his new role.,Waziri wa Baraza la Mawaziri alimkaribisha John Lekakeny Ololtuaa katika Wizara ya Elimu na kumtakia Profesa Julius Bitok kila la heri katika nafasi yake mpya.,
214,Education,"The FY 2026-27 Mwananchi Budget Guide allocates Ksh 61.6 billion for Free Primary and Day Secondary Education, and Ksh 38.9 billion for Junior Secondary School Capitation.","Mwongozo wa Bajeti ya Mwananchi wa Mwaka wa Fedha wa 2026-27 unatenga Ksh bilioni 61.6 kwa ajili ya Elimu ya Msingi na Sekondari ya Kutwa Bila Malipo, na Ksh bilioni 38.9 kwa ajili ya Kujifunza Shule za Sekondari za Watoto Wadogo.",
215,Education,"The budget also provides Ksh 8.2 billion for Intern Teachers, Ksh 7.3 billion for Technical Vocational Education Training, and Ksh 7.1 billion for the Kenya Primary Education Equity in Learning programme.","Bajeti hiyo pia inatoa Ksh bilioni 8.2 kwa Walimu wa Mafunzo ya Ndani, Ksh bilioni 7.3 kwa Mafunzo ya Elimu ya Ufundi Stadi, na Ksh bilioni 7.1 kwa programu ya Usawa katika Kujifunza ya Elimu ya Msingi ya Kenya.",
216,Education,"Further allocations include Ksh 5.9 billion for ongoing University Education projects, Ksh 4.9 billion for converting 20,000 intern teachers to permanent and pensionable terms from 1 January 2027, and Ksh 4.7 billion for the Kenya Secondary Education Quality Improvement Project.","Mgao zaidi ni pamoja na Ksh bilioni 5.9 kwa miradi inayoendelea ya Elimu ya Vyuo Vikuu, Ksh bilioni 4.9 kwa ajili ya kuwabadilisha walimu 20,000 wa mafunzo kwa vitendo kuwa wa kudumu na wa kustaafu kuanzia Januari 1, 2027, na Ksh bilioni 4.7 kwa ajili ya Mradi wa Uboreshaji wa Ubora wa Elimu ya Sekondari ya Kenya.",
